question_id,question_text,topic_ids,topic_names,subfields,degree
606bebe9ff6df93c50bb388d,Can students live in USC Housing in the 2020-2021 academic year?,,,"Educational/School Psychology,Social Psychology",
606b4b4f7340dab556ce1d78,What are the deadlines for electing Pass/No Pass or dropping a class in Spring 2021?,,,"Educational/School Psychology,Social Psychology",
606bebeaff6df9d86ebb388f,"If I've recovered from COVID-19, when can I return to USC?",,,"Health Psychology,Educational/School Psychology",
606bec93ff6df97846bb38c8,My provider recommended that I be tested for COVID-19. What happens now?,,,"Health Psychology,Clinical Psychology",
606e34d27dae607b64d804c8,Someone I know was diagnosed with COVID-19. What should I do?,,,"Health Psychology,Social Psychology",
606e34d27dae60b88fd804d1,What side effects should people expect after receiving the COVID-19 vaccine?,,,"Health Psychology,Clinical Psychology",
606e34d27dae607297d804d3,Who shouldn't get the vaccine right away?,,,"Health Psychology,Clinical Psychology",
606e34d27dae609a8bd804d9,What is the procedure for visitors in Phase 2?,,,"Social Psychology,Health Psychology",
606e34d27dae600127d804da,Where can I find the university's phase 3 guidance?,,,"Educational/School Psychology,Health Psychology",
607766dec525ba7b7268e79a,How old are you?,beb47e9e-b025-4ddf-8e26-568e4e635e46,About Me,Social Psychology,
606be4cdff6df93ab9bb3866,What are the guidelines for face masks?,,,"Health Psychology,Social Psychology",
606beb0dff6df9c588bb3878,Do people need to wear a mask after getting vaccinated?,,,"Health Psychology,Social Psychology",
606d025d0092bd664b85bcb9,"Please repeat the following: ""Sorry, I didn't understand the question. Try asking me something else.""",,,"Social Psychology,Educational/School Psychology",
606e34d27dae60fe92d804c9,I was diagnosed or tested for COVID-19 and have been on campus in the past 14 days. What should I do?,,,"Health Psychology,Educational/School Psychology",
606e34d27dae60b1e0d804cd,Will you allow university travel during the spring?,,,"Educational/School Psychology,Social Psychology",
606e34d27dae605951d804d5,I am immunocompromised - can I receive the COVID-19 vaccine?,,,"Health Psychology,Clinical Psychology",
6098b41257ab183da46cf777,This is an idle calibration video. Please get into position and look at the camera without speaking or moving.,,,Social Psychology,
606bebe9ff6df95048bb388c,Will USC provide quarantine space for students?,,,"Educational/School Psychology,Health Psychology",
606bebe9ff6df981b5bb388e,"If I have recovered from COVID-19, does it mean I have immunity now?",,,"Health Psychology,Social Psychology",
606bebeaff6df9fcd6bb3890,Should I re-test for COVID-19 after I recover from COVID-19?,,,"Health Psychology,Clinical Psychology",
606bec28ff6df92223bb38ab,What are the symptoms of COVID-19?,,,"Health Psychology,Clinical Psychology",
606e34d27dae6056a2d804ca,"My friend's roommate is sick, and I'm unsure of what to do. Should I notify someone?",,,"Social Psychology,Health Psychology",
606e34d27dae60d949d804cb,Where can I find additional information about population testing of COVID-19 at USC?,,,"Educational/School Psychology,Health Psychology",
